;Keruuv;Alue;Kohde;koeala;syvyys_cm;Lieriö;Db_x;Ds;Org;tp;WC03_x;WC1_x;WC5_x;WC10_x;WC33_x;WC100_x;WC1500_x;v03_x;v1_x;v5_x;v10_x;v33_x;v100_x;KivetM;KivetV;Huom1;Huom2;Huom3;1piste;2piste;kuoppa;Pkoord;Ikoord;B_hor;erä;pl;toisto
57;2013;;544-70;10.0;1-7;96;1.3531685054;2.625505;2.13;48.4606387951;42.9151002373;41.1493952963;38.8298714624;34.6990340728;27.2257367764;26.9260230226;3.5317697991;100.0;98.3022071307;98.3022071307;98.3022071307;96.6044142615;98.3022071307;0.0;0.0;mineraali;harmaata kiv.maata;;;;3.0;;;;;;
58;2013;;544-70;10.0;14-20;126;1.59446335299;2.63206;1.56;39.4214663423;;30.8462780461;27.9716853406;26.1750648997;18.2970537586;11.3682005863;4.32099568661;100.0;98.2456140351;98.2456140351;96.4912280702;98.2456140351;96.4912280702;0.0;0.0;mineraali;vaaleanruskeaa kiv.maata, 2 kiveä, ei isoja;;;;3.0;;;;;;
59;2013;;544-70;17.0;humus;73;0.482583123387;2.447485;17.61;80.2824890291;70.9131754671;43.550808312;38.4211639786;34.7881989145;29.6073860591;24.2730676375;12.7594977823;100.0;96.6666666667;96.6666666667;93.3333333333;96.6666666667;96.6666666667;0.0;0.0;seos;sekanäyte, enemmän kiv.maata, kariketta ja juuria jonkin verran;;;;1.0;;;;;;
60;2013;;544-70;17.0;14-20;91;1.15994085097;2.588935;5.31;55.1962157811;46.32;40.2383133828;30.8848701715;25.1759953956;23.2754099029;19.3105180698;8.68795697375;100.0;98.1515711645;100.0;100.0;100.0;98.1515711645;0.0;0.0;mineraali;punertavanruskeaa ja ruskeaa kiv.maata, 3 pientä kiveä;;;;1.0;;;;;;
61;2013;;544-70;17.0;1-7;615;0.686644373452;2.473015;15.39;70.4384277444;50.1455558071;42.4143576918;40.2472226235;37.0152668643;33.4233717166;31.0237757934;12.9295135521;100.0;100.0;100.0;98.0324095277;98.0324095277;100.0;8.18;3.08679245283;seos;tumma multamainen, paljon juuria, 1 kivi 8.18 g;;;;1.0;;;;;;
62;2013;;544-70;17.0;14-20;97;1.27495338797;2.58974;5.24;50.7690583623;41.802295599;35.576846326;31.6460338043;27.8016858558;22.8199962132;20.159547806;10.0848812988;100.0;98.2728842832;100.0;100.0;98.2728842832;98.2728842832;0.0;0.0;mineraali;tummanruskeaa kiv.maata, muutama kivi;;;;2.0;;;;;;
63;2013;;544-70;17.0;humus;216;0.128152973578;1.70424;82.24;92.4803446945;74.5841643836;45.8774148201;40.4382412185;36.7315451345;35.3717517342;34.5659482376;9.40899132009;100.0;97.375328084;97.375328084;94.750656168;97.375328084;94.750656168;0.0;0.0;humus;tumma multamainen, juuria;;;;2.0;;;;;;
64;2013;;544-70;17.0;14-20;89;1.40667026417;2.604575;3.95;45.9923302583;39.83;36.8698951522;35.3386180265;34.4003035324;32.1587744631;29.7217632076;11.858230327;100.0;100.0;100.0;98.3079526227;98.3079526227;96.6159052453;0.0;0.0;mineraali;harmaata kiv.maata;;;;3.0;;;;;;
65;2013;;544-70;17.0;1-7;95;1.20108511365;2.599515;4.39;53.7957998452;46.9822973206;45.9973032715;45.050685614;43.4580653658;37.8295279426;32.0346928228;8.6117802649;100.0;100.0;100.0;100.0;96.5579185957;94.9486199524;0.0;0.0;mineraali;tummanharmaata kiv.maata;;;;3.0;;;;;;
66;2013;;544-70;17.0;humus;111;0.20003982556;1.787615;74.99;88.8096807444;84.7482466673;65.9060666006;58.7808724578;51.7150549328;47.2222241817;46.5987696942;17.8015440766;100.0;97.4747474747;97.4747474747;94.9494949495;97.4747474747;97.4747474747;0.0;0.0;seos;tumma multamainen, ohuita juuria;;;;3.0;;;;;;
